id,domain_code,domain,role,workflow,context,path
"COK-GOV-01-01","GOV","운영 원칙·의사결정","창업가","주간 운영 점검","정기 점검","manuals/gov/COK-GOV-01-01.md"
"COK-GOV-01-02","GOV","운영 원칙·의사결정","창업가","주간 운영 점검","신규 요청","manuals/gov/COK-GOV-01-02.md"
"COK-GOV-01-03","GOV","운영 원칙·의사결정","창업가","주간 운영 점검","실사용자 신고","manuals/gov/COK-GOV-01-03.md"
"COK-GOV-01-04","GOV","운영 원칙·의사결정","창업가","주간 운영 점검","배포 직전","manuals/gov/COK-GOV-01-04.md"
"COK-GOV-01-05","GOV","운영 원칙·의사결정","창업가","주간 운영 점검","배포 직후","manuals/gov/COK-GOV-01-05.md"
"COK-GOV-01-06","GOV","운영 원칙·의사결정","창업가","주간 운영 점검","장애 발생","manuals/gov/COK-GOV-01-06.md"
"COK-GOV-01-07","GOV","운영 원칙·의사결정","창업가","주간 운영 점검","보안 의심","manuals/gov/COK-GOV-01-07.md"
"COK-GOV-01-08","GOV","운영 원칙·의사결정","창업가","주간 운영 점검","개인정보 포함 가능성","manuals/gov/COK-GOV-01-08.md"
"COK-GOV-01-09","GOV","운영 원칙·의사결정","창업가","주간 운영 점검","파일럿 진행","manuals/gov/COK-GOV-01-09.md"
"COK-GOV-01-10","GOV","운영 원칙·의사결정","창업가","주간 운영 점검","월간 회고","manuals/gov/COK-GOV-01-10.md"
"COK-GOV-02-01","GOV","운영 원칙·의사결정","창업가","월간 목표 설정","정기 점검","manuals/gov/COK-GOV-02-01.md"
"COK-GOV-02-02","GOV","운영 원칙·의사결정","창업가","월간 목표 설정","신규 요청","manuals/gov/COK-GOV-02-02.md"
"COK-GOV-02-03","GOV","운영 원칙·의사결정","창업가","월간 목표 설정","실사용자 신고","manuals/gov/COK-GOV-02-03.md"
"COK-GOV-02-04","GOV","운영 원칙·의사결정","창업가","월간 목표 설정","배포 직전","manuals/gov/COK-GOV-02-04.md"
"COK-GOV-02-05","GOV","운영 원칙·의사결정","창업가","월간 목표 설정","배포 직후","manuals/gov/COK-GOV-02-05.md"
"COK-GOV-02-06","GOV","운영 원칙·의사결정","창업가","월간 목표 설정","장애 발생","manuals/gov/COK-GOV-02-06.md"
"COK-GOV-02-07","GOV","운영 원칙·의사결정","창업가","월간 목표 설정","보안 의심","manuals/gov/COK-GOV-02-07.md"
"COK-GOV-02-08","GOV","운영 원칙·의사결정","창업가","월간 목표 설정","개인정보 포함 가능성","manuals/gov/COK-GOV-02-08.md"
"COK-GOV-02-09","GOV","운영 원칙·의사결정","창업가","월간 목표 설정","파일럿 진행","manuals/gov/COK-GOV-02-09.md"
"COK-GOV-02-10","GOV","운영 원칙·의사결정","창업가","월간 목표 설정","월간 회고","manuals/gov/COK-GOV-02-10.md"
"COK-GOV-03-01","GOV","운영 원칙·의사결정","창업가","기능 유지 판단","정기 점검","manuals/gov/COK-GOV-03-01.md"
"COK-GOV-03-02","GOV","운영 원칙·의사결정","창업가","기능 유지 판단","신규 요청","manuals/gov/COK-GOV-03-02.md"
"COK-GOV-03-03","GOV","운영 원칙·의사결정","창업가","기능 유지 판단","실사용자 신고","manuals/gov/COK-GOV-03-03.md"
"COK-GOV-03-04","GOV","운영 원칙·의사결정","창업가","기능 유지 판단","배포 직전","manuals/gov/COK-GOV-03-04.md"
"COK-GOV-03-05","GOV","운영 원칙·의사결정","창업가","기능 유지 판단","배포 직후","manuals/gov/COK-GOV-03-05.md"
"COK-GOV-03-06","GOV","운영 원칙·의사결정","창업가","기능 유지 판단","장애 발생","manuals/gov/COK-GOV-03-06.md"
"COK-GOV-03-07","GOV","운영 원칙·의사결정","창업가","기능 유지 판단","보안 의심","manuals/gov/COK-GOV-03-07.md"
"COK-GOV-03-08","GOV","운영 원칙·의사결정","창업가","기능 유지 판단","개인정보 포함 가능성","manuals/gov/COK-GOV-03-08.md"
"COK-GOV-03-09","GOV","운영 원칙·의사결정","창업가","기능 유지 판단","파일럿 진행","manuals/gov/COK-GOV-03-09.md"
"COK-GOV-03-10","GOV","운영 원칙·의사결정","창업가","기능 유지 판단","월간 회고","manuals/gov/COK-GOV-03-10.md"
"COK-GOV-04-01","GOV","운영 원칙·의사결정","창업가","기능 중단 판단","정기 점검","manuals/gov/COK-GOV-04-01.md"
"COK-GOV-04-02","GOV","운영 원칙·의사결정","창업가","기능 중단 판단","신규 요청","manuals/gov/COK-GOV-04-02.md"
"COK-GOV-04-03","GOV","운영 원칙·의사결정","창업가","기능 중단 판단","실사용자 신고","manuals/gov/COK-GOV-04-03.md"
"COK-GOV-04-04","GOV","운영 원칙·의사결정","창업가","기능 중단 판단","배포 직전","manuals/gov/COK-GOV-04-04.md"
"COK-GOV-04-05","GOV","운영 원칙·의사결정","창업가","기능 중단 판단","배포 직후","manuals/gov/COK-GOV-04-05.md"
"COK-GOV-04-06","GOV","운영 원칙·의사결정","창업가","기능 중단 판단","장애 발생","manuals/gov/COK-GOV-04-06.md"
"COK-GOV-04-07","GOV","운영 원칙·의사결정","창업가","기능 중단 판단","보안 의심","manuals/gov/COK-GOV-04-07.md"
"COK-GOV-04-08","GOV","운영 원칙·의사결정","창업가","기능 중단 판단","개인정보 포함 가능성","manuals/gov/COK-GOV-04-08.md"
"COK-GOV-04-09","GOV","운영 원칙·의사결정","창업가","기능 중단 판단","파일럿 진행","manuals/gov/COK-GOV-04-09.md"
"COK-GOV-04-10","GOV","운영 원칙·의사결정","창업가","기능 중단 판단","월간 회고","manuals/gov/COK-GOV-04-10.md"
"COK-GOV-05-01","GOV","운영 원칙·의사결정","창업가","의사결정 기록","정기 점검","manuals/gov/COK-GOV-05-01.md"
"COK-GOV-05-02","GOV","운영 원칙·의사결정","창업가","의사결정 기록","신규 요청","manuals/gov/COK-GOV-05-02.md"
"COK-GOV-05-03","GOV","운영 원칙·의사결정","창업가","의사결정 기록","실사용자 신고","manuals/gov/COK-GOV-05-03.md"
"COK-GOV-05-04","GOV","운영 원칙·의사결정","창업가","의사결정 기록","배포 직전","manuals/gov/COK-GOV-05-04.md"
"COK-GOV-05-05","GOV","운영 원칙·의사결정","창업가","의사결정 기록","배포 직후","manuals/gov/COK-GOV-05-05.md"
"COK-GOV-05-06","GOV","운영 원칙·의사결정","창업가","의사결정 기록","장애 발생","manuals/gov/COK-GOV-05-06.md"
"COK-GOV-05-07","GOV","운영 원칙·의사결정","창업가","의사결정 기록","보안 의심","manuals/gov/COK-GOV-05-07.md"
"COK-GOV-05-08","GOV","운영 원칙·의사결정","창업가","의사결정 기록","개인정보 포함 가능성","manuals/gov/COK-GOV-05-08.md"
"COK-GOV-05-09","GOV","운영 원칙·의사결정","창업가","의사결정 기록","파일럿 진행","manuals/gov/COK-GOV-05-09.md"
"COK-GOV-05-10","GOV","운영 원칙·의사결정","창업가","의사결정 기록","월간 회고","manuals/gov/COK-GOV-05-10.md"
"COK-GOV-06-01","GOV","운영 원칙·의사결정","창업가","우선순위 재정렬","정기 점검","manuals/gov/COK-GOV-06-01.md"
"COK-GOV-06-02","GOV","운영 원칙·의사결정","창업가","우선순위 재정렬","신규 요청","manuals/gov/COK-GOV-06-02.md"
"COK-GOV-06-03","GOV","운영 원칙·의사결정","창업가","우선순위 재정렬","실사용자 신고","manuals/gov/COK-GOV-06-03.md"
